ID,label
41988,43
41989,22
41990,57
41991,96
41992,86
41993,22
41994,5
41995,67
41996,16
41997,80
41998,18
41999,48
42000,14
42001,93
42002,65
42003,57
42004,86
42005,18
42006,6
42007,30
42008,43
42009,69
42010,94
42011,63
42012,85
42013,53
42014,37
42015,19
42016,76
42017,86
42018,62
42019,52
42020,45
42021,59
42022,26
42023,21
42024,16
42025,41
42026,80
42027,56
42028,60
42029,26
42030,23
42031,86
42032,89
42033,18
42034,31
42035,52
42036,63
42037,6
42038,73
42039,14
42040,21
42041,13
42042,33
42043,77
42044,72
42045,85
42046,37
42047,64
42048,19
42049,79
42050,98
42051,33
42052,28
42053,10
42054,67
42055,22
42056,12
42057,98
42058,53
42059,50
42060,86
42061,37
42062,52
42063,93
42064,54
42065,18
42066,96
42067,16
42068,15
42069,67
42070,51
42071,77
42072,90
42073,49
42074,0
42075,55
42076,44
42077,36
42078,35
42079,98
42080,6
42081,54
42082,78
42083,43
42084,11
42085,55
42086,98
42087,34
42088,91
42089,70
42090,14
42091,59
42092,91
42093,73
42094,22
42095,98
42096,75
42097,67
42098,45
42099,17
42100,45
42101,38
42102,11
42103,43
42104,58
42105,49
42106,81
42107,81
42108,42
42109,10
42110,53
42111,6
42112,71
42113,34
42114,96
42115,4
42116,96
42117,81
42118,16
42119,60
42120,71
42121,39
42122,12
42123,93
42124,40
42125,77
42126,11
42127,19
42128,92
42129,77
42130,27
42131,88
42132,76
42133,81
42134,53
42135,78
42136,10
42137,50
42138,41
42139,76
42140,4
42141,31
42142,40
42143,8
42144,5
42145,21
42146,77
42147,5
42148,69
42149,82
42150,1
42151,36
42152,9
42153,4
42154,82
42155,51
42156,67
42157,6
42158,41
42159,73
42160,93
42161,44
42162,77
42163,43
42164,19
42165,32
42166,75
42167,56
42168,3
42169,56
42170,81
42171,98
42172,0
42173,67
42174,65
42175,76
42176,5
42177,12
42178,11
42179,42
42180,85
42181,76
42182,47
42183,91
42184,87
42185,95
42186,66
42187,98
42188,98
42189,79
42190,43
42191,91
42192,77
42193,64
42194,91
42195,45
42196,5
42197,91
42198,94
42199,6
42200,36
42201,2
42202,13
42203,32
42204,42
42205,45
42206,92
42207,37
42208,12
42209,83
42210,77
42211,68
42212,46
42213,63
42214,56
42215,58
42216,69
42217,54
42218,16
42219,33
42220,90
42221,40
42222,74
42223,34
42224,81
42225,44
42226,15
42227,80
42228,60
42229,17
42230,81
42231,96
42232,24
42233,27
42234,95
42235,78
42236,12
42237,21
42238,79
42239,78
42240,35
42241,5
42242,61
42243,90
42244,57
42245,41
42246,11
42247,39
42248,53
42249,31
42250,58
42251,61
42252,39
42253,22
42254,6
42255,16
42256,77
42257,90
42258,24
42259,5
42260,1
42261,95
42262,26
42263,98
42264,25
42265,36
42266,16
42267,67
42268,71
42269,54
42270,12
42271,47
42272,25
42273,26
42274,22
42275,18
42276,51
42277,49
42278,73
42279,39
42280,45
42281,70
42282,95
42283,8
42284,25
42285,44
42286,27
42287,32
42288,0
42289,10
42290,32
42291,43
42292,87
42293,92
42294,87
42295,62
42296,27
42297,18
42298,98
42299,67
42300,85
42301,26
42302,7
42303,53
42304,23
42305,64
42306,16
42307,45
42308,41
42309,45
42310,27
42311,64
42312,96
42313,56
42314,85
42315,12
42316,11
42317,6
42318,36
42319,51
42320,79
42321,81
42322,88
42323,54
42324,79
42325,10
42326,36
42327,34
42328,8
42329,27
42330,9
42331,64
42332,54
42333,46
42334,60
42335,1
42336,50
42337,75
42338,54
42339,95
42340,74
42341,62
42342,56
42343,86
42344,43
42345,69
42346,43
42347,98
42348,79
42349,33
42350,41
42351,42
42352,36
42353,47
42354,73
42355,66
42356,79
42357,40
42358,99
42359,54
42360,14
42361,86
42362,76
42363,16
42364,47
42365,31
42366,45
42367,28
42368,48
42369,10
42370,78
42371,93
42372,75
42373,75
42374,91
42375,34
42376,1
42377,50
42378,87
42379,45
42380,17
42381,12
42382,10
42383,8
42384,33
42385,51
42386,66
42387,18
42388,72
42389,40
42390,72
42391,64
42392,82
42393,13
42394,11
42395,10
42396,71
42397,17
42398,11
42399,45
42400,88
42401,2
42402,55
42403,39
42404,61
42405,57
42406,43
42407,75
42408,89
42409,64
42410,21
42411,98
42412,49
42413,64
42414,81
42415,7
42416,60
42417,76
42418,57
42419,66
42420,62
42421,42
42422,0
42423,53
42424,87
42425,45
42426,30
42427,23
42428,49
42429,5
42430,46
42431,18
42432,55
42433,10
42434,79
42435,64
42436,10
42437,89
42438,88
42439,58
42440,70
42441,48
42442,46
42443,77
42444,90
42445,57
42446,59
42447,68
42448,89
42449,71
42450,8
42451,69
42452,74
42453,90
42454,58
42455,79
42456,89
42457,38
42458,0
42459,25
42460,64
42461,44
42462,23
42463,18
42464,1
42465,15
42466,47
42467,42
42468,62
42469,31
42470,83
42471,22
42472,18
42473,98
42474,49
42475,94
42476,4
42477,50
42478,95
42479,68
